City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,veraval,20.9,70.3667,23.43,41,12,4.25,IN,1708136130
348,urengoy,65.9667,78.3667,-33.56,94,12,2.59,RU,1708136130
349,gereida,11.2811,25.1414,18.47,23,66,6.28,SD,1708136131
350,barra,-11.0894,-43.1417,25.01,77,94,3.26,BR,1708136131
351,lunen,51.6167,7.5167,10.75,90,100,3.6,DE,1708136131
352,clevelandia,-26.3958,-52.4708,16.64,98,12,1.95,BR,1708136131
353,val-d'or,48.1002,-77.7828,-14.95,85,100,3.09,CA,1708136131
354,tot'ma,59.9747,42.7642,-17.19,96,100,3.47,RU,1708136131
355,la romana,18.4273,-68.9728,23.2,88,20,0.0,DO,1708136103
356,agdas,40.65,47.4761,3.61,93,100,2.32,AZ,1708136131
357,solnechnyy,50.7214,136.6319,-16.65,84,100,3.15,RU,1708136131
